13695,13695,4554,Toyota,313.0,273702,False
9762,9762,13807,Infiniti,123.0,528462,False
700,700,16593,Infiniti,281.0,1552965,True
10208,10208,4259,Mercedez-Benz,406.0,2390068,False
2394,2394,12912,LADA,349.0,1724494,False
12691,12691,7635,Daewoo,219.0,1782373,False
8011,8011,4187,BMW,181.0,3360766,False
11346,11346,13961,LADA,373.0,946708,False
922,922,13961,Daewoo,249.0,1177126,False
8232,8232,4401,Subaru,357.0,2768978,False
4044,4044,10608,Toyota,351.0,3459179,False
328,328,239,Ford,367.0,1477336,False
12403,12403,3969,Infiniti,132.0,2697918,False
11417,11417,7421,Mercedez-Benz,386.0,3038023,False
4328,4328,11786,Toyota,316.0,1984715,False
12420,12420,10922,Subaru,183.0,2451485,False
8724,8724,12912,Ford,419.0,3202947,False
9579,9579,5555,Daewoo,85.0,1575000,False
13229,13229,17655,Ford,82.0,1864729,False
3593,3593,11413,Toyota,416.0,2726547,False
14492,14492,6452,Mercedez-Benz,451.0,3682014,False
6163,6163,19086,Audi,131.0,1731183,False
14213,14213,13961,LADA,103.0,3013307,False
7449,7449,11413,Audi,270.0,442061,False
364,364,16593,Toyota,460.0,2426444,False
11773,11773,12796,Nissan,445.0,344473,False
9905,9905,2887,Daewoo,468.0,3083605,False
3953,3953,16716,BMW,345.0,990160,False
13786,13786,15614,BMW,346.0,2665299,False
3978,3978,14948,Audi,337.0,2094065,False
9863,9863,6820,BMW,281.0,2854570,True
6441,6441,13044,LADA,358.0,1696601,False
163,163,2887,BMW,440.0,1690552,False
14653,14653,8547,Audi,281.0,2773060,True
5245,5245,8547,Ford,446.0,1695327,False
1806,1806,1293,Mercedez-Benz,488.0,2173979,False
14467,14467,11996,Subaru,243.0,1809782,False
4535,4535,9686,Infiniti,496.0,649563,False
8286,8286,14948,KIA,229.0,2217326,False
4518,4518,16012,Daewoo,192.0,2229659,False
420,420,4642,BMW,123.0,3624807,False
2418,2418,613,Nissan,71.0,892587,False
11104,11104,14773,Subaru,197.0,2382689,False
5487,5487,2389,Mercedez-Benz,257.0,2648761,False
10933,10933,10664,Toyota,136.0,1448417,False
12768,12768,16030,Ford,322.0,1434217,False
5674,5674,631,Daewoo,396.0,3126077,False
8487,8487,14862,Daewoo,281.0,274850,True
9698,9698,12958,Toyota,281.0,2246857,True
14017,14017,2389,KIA,386.0,1792250,False
5172,5172,8772,Infiniti,281.0,1538443,True
5925,5925,523,Nissan,265.0,2583638,False
13285,13285,7143,KIA,260.0,2983985,False
11078,11078,11128,Infiniti,356.0,412449,False
12971,12971,7900,Daewoo,172.0,1646334,False
13309,13309,18514,LADA,311.0,894701,False
11081,11081,16020,Subaru,82.0,652773,False
12350,12350,14840,Toyota,148.0,3896990,False
11955,11955,4802,KIA,444.0,3259001,False
14458,14458,7847,Nissan,203.0,3879917,False
8257,8257,14980,Audi,485.0,1149584,False
8264,8264,14980,Nissan,139.0,3509218,False
2075,2075,18601,BMW,441.0,391576,False
11595,11595,11605,Mercedez-Benz,92.0,2650432,False
14594,14594,10625,Nissan,281.0,1696252,True
14015,14015,16020,KIA,146.0,2204861,False
4833,4833,15363,LADA,357.0,1232549,False
6959,6959,10987,Toyota,358.0,866492,False
528,528,18514,Ford,463.0,658558,False
10731,10731,7143,LADA,180.0,3564816,False
7697,7697,9005,KIA,128.0,267284,False
13849,13849,17992,BMW,281.0,3237986,True
3174,3174,17601,Infiniti,281.0,589862,True
9950,9950,7847,BMW,139.0,996232,False
2256,2256,19836,Audi,365.0,3035407,False
3177,3177,10625,Ford,281.0,451465,True
3885,3885,8051,Daewoo,162.0,2405490,False
2280,2280,17601,KIA,402.0,1791085,False
7139,7139,19756,Infiniti,191.0,388934,False
14618,14618,16789,Ford,375.0,2618056,False
3722,3722,9834,Ford,371.0,2239653,False
1688,1688,12494,KIA,108.0,1283435,False
10325,10325,17920,Nissan,327.0,339165,False
6825,6825,17490,Mercedez-Benz,398.0,339242,False
689,689,12201,KIA,281.0,931635,True
8522,8522,5013,Infiniti,438.0,2612888,False
12519,12519,15362,Nissan,189.0,883462,False
12019,12019,12494,LADA,448.0,816777,False
2581,2581,18867,Ford,411.0,3355151,False
2231,2231,18867,Ford,253.0,3115247,False
9788,9788,12984,Infiniti,281.0,3927885,False
848,848,6172,Subaru,78.0,1113301,False
11063,11063,10486,Subaru,281.0,2246448,True
6259,6259,16041,Ford,468.0,3568266,False
743,743,11399,Daewoo,454.0,2126247,False
8213,8213,13568,BMW,321.0,406089,False
5083,5083,11695,KIA,281.0,838533,True
343,343,1895,Toyota,329.0,2649095,False
14433,14433,6399,Nissan,405.0,936071,False
7200,7200,18867,Ford,281.0,1282554,True
4360,4360,18587,Ford,435.0,3465683,False
10297,10297,6086,BMW,159.0,1060165,False
13476,13476,9277,Daewoo,97.0,1606246,False
12687,12687,6172,Ford,448.0,3179015,False
5759,5759,19311,Infiniti,364.0,3426911,False
3795,3795,18867,LADA,96.0,1576983,False
8711,8711,11399,Infiniti,384.0,1094094,False
2379,2379,19311,Toyota,73.0,858879,False
2442,2442,13568,Toyota,150.0,3655233,False
12898,12898,6919,Toyota,394.0,3636560,False
12595,12595,11650,Mercedez-Benz,245.0,2246953,False
14941,14941,6172,BMW,281.0,3569195,True
10873,10873,2000,Subaru,82.0,857672,False
1340,1340,1126,Subaru,394.0,3556950,False
14490,14490,18067,Subaru,99.0,2672745,False
12858,12858,14655,KIA,269.0,3164087,False
11723,11723,17199,Audi,178.0,379626,False
7622,7622,7705,Ford,486.0,984716,False
8461,8461,18340,Nissan,157.0,2516388,False
2725,2725,3610,Audi,390.0,2425237,False
13839,13839,13935,Infiniti,272.0,2033150,False
10581,10581,17199,LADA,384.0,1125781,False
68,68,4011,BMW,281.0,736750,True
2008,2008,3610,Nissan,408.0,650351,False
9602,9602,2526,Audi,281.0,3971922,True
10424,10424,2526,Nissan,220.0,2779516,False
5007,5007,8249,Mercedez-Benz,234.0,2329819,False
3003,3003,13400,Mercedez-Benz,471.0,3962459,False
9004,9004,4545,Toyota,462.0,3943399,False
1499,1499,4837,KIA,421.0,1506464,False
